,0
0,aluminum_alloy
1,chemical_medicine
2,chemical_pesticides
3,cloth
4,engines
5,equipment_for_mobile_communication_base_stations
6,equipment_for_prevention_and_control_of_atmospheric_pollution
7,excavators
8,medium_wide_steel_belt
9,milk_products
10,phosphate_ore
11,photovoltaic_cells
12,plastic_products
13,refined_edible_vegetable_oil
14,soda_ash
15,soft_drinks
16,welded_steel_pipe
17,Output of Coal Current Period(10000 tons)
18,Output of Coalbed Gas Current Period(100 million cu.m)
19,Output of Kerosene Current Period(10000 tons)
20,Output of Naphtha Current Period(10000 tons)
21,Output of Petroleum Coke Current Period(10000 tons)
22,Passenger Traffic of Waterways Current Period(10000 persons)
